Name,Height,Weight,Sport
Jan Ulrich,1.83,73,Cycling
Lance Armstrong,1.77,75,Cycling
Chris Froome,1.86,69,Cycling
Egan Bernal,1.75,60,Cycling
Geraint Thomas,1.83,71,Cycling
Christian Stucki,1.98,150,Swiss Wrestling
Arnold Forrer,1.94,118,Swiss Wrestling
Joel Wicki,1.82,107,Swiss Wrestling
Philipp Laimbacher,1.85,102,Swiss Wrestling
Matthias Glarner,1.84,116,Swiss Wrestling
Kilian Wenger,1.90,112,Swiss Wrestling
Roger Brügger,1.98,135,Swiss Wrestling
Daniel Yule,1.87,87,Alpine Skiing
Marco Odermatt,1.83,79,Alpine Skiing
Beat Feuz,1.73,85,Alpine Skiing
Didier Cuche,1.74,91,Alpine Skiing
Didier Defago,1.83,88,Alpine Skiing
Aksel Lund Svindal,1.89,97,Alpine Skiing
Kisenosato Yutaka,1.87,175,Sumo Wrestling
Kakuryū Rikisaburō,1.86,161,Sumo Wrestling
Musashimaru Kōyō,1.92,235,Sumo Wrestling
Kisenosato Yutaka,1.88,177,Sumo Wrestling
Akebono Tarō,2.03,233,Sumo Wrestling
Ōnokuni Yasushi,1.89,203,Sumo Wrestling
Hakuhō Shō,1.92,151,Sumo Wrestling
Harumafuji Kōhei,1.86,137,Sumo Wrestling
Eliud Kipchoge,1.67,52,Long-Distance Running
Haile Gebrselassie,1.64,56,Long-Distance Running
Samuel Wanjiru,1.63,52,Long-Distance Running
